"asin","n"
"B00936K09S",189
"B00DLUE890",189
"B00000IVFX",188
"B00001ZT4D",188
"B00004UBH3",188
"B00079407S",188
"B000FJ4AD4",188
"B002KDNAU2",188
"B004U5FW3Q",188
"B005IFW384",188
"B007AW55MO",188
"B007EA6PKS",188
"B000058TJ3",187
"B00005BY4I",187
"B0001CU16A",187
"B000K7I62M",187
"B002BS4JDS",187
"B002OED6I8",187
"B003G9ZQQA",187
"B003Y737CO",187
"B005G2R3K2",187
"B005ZF7ZYY",187
"B007KV67AE",187
"B008AWFXD4",187
"B00BK8VQ04",187
"B00BQYQY8Q",187
"B00CMNX7VW",187
"B00F4WMA6Q",187
"B00000IVZJ",186
"B000GYUYC4",186
"B001447IX8",186
"B0015KVW56",186
"B0019665DK",186
"B001BSBYAU",186
"B001L123JS",186
"B005Z71QJ2",186
"B006BLK9L2",186
"B0000205XI",185
"B00022F0WE",185
"B00393I2DM",185
"B007FLQ394",185
"B00153BFA0",184
"B0015KVZVC",184
"B001ENDC02",184
"B003BAN3AU",184
"B007WFYIX6",184
"B00DERIV8Y",184
"B00004WHN9",183
"B00005O6TY",183
"B00005UNAV",183
"B000VO3HC8",183
"B000W7G78A",183
"B000XQAZJC",183
"B002IMMDN0",183
"B005OS745W",183
"B006EFMSSM",183
"B00F6CIUM2",183
"B0000WXGL8",182
"B0001XNTJA",182
"B00025EIZG",182
"B0009K6K50",182
"B002YIV0ZU",182
"B003I4L9PK",182
"B00CKH9WOQ",182
"B00D97SNG4",182
"0913866687",181
"B00000J0B7",181
"B00008PW0H",181
"B00008X35E",181
"B000HH6KFA",181
"B000WQZD9U",181
"B0050PJJPM",181
"B007Q0ON32",181
"B00946FSIA",181
"B00FW78710",181
"B000099Z8H",180
"B0014WO96Y",180
"B0029ZAP40",180
"B0038AT564",180
"B0001X2XE2",179
"B0002V84TQ",179
"B00083HIHM",179
"B000BXKN30",179
"B0014412KI",179
"B001O271YG",179
"B004DZ8WYE",179
"B00AHAJGXK",179
"B00CEQ1HPK",179
"B00004SU7V",178
"B0009JW3Q6",178
"B000E9DPCW",178
"B000GX40PW",178
"B000I19D90",178
"B000UZI26E",178
"B0043BYOO0",178
"B00CKH9FAC",178
"B000063XO3",177
"B001BSC4AY",177
"B004MTGOQE",177
"B004Z24R8K",177
"B0061J30VU",177
"B0063UMPQS",177
"B007RM5CO8",177
"B008YPL8R2",177
"B00BSWRZ1G",177
"B00CWER3XY",177
"B00000IWDB",176
"B00009KWTB",176
"B000FQ9IG6",176
"B001CNS2L8",176
"B001LU6RL4",176
"B001W1R0KE",176
"B002PZWJNE",176
"B003UV8POO",176
"B00C6PWHB2",176
"1223063151",175
"B00004RDFW",175
"B00006HBTD",175
"B0015KSU9W",175
"B001AQDA50",175
"B001R674GE",175
"B003EXPDAC",175
"B00428LJ0G",175
"B0042MAKAW",175
"B004Z297VW",175
"B005J146MI",175
"B007J3F9VG",175
"B00BUM29XS",175
"B00000IVAL",174
"B000068P9P",174
"B00009VE2N",174
"B0019ICP4Q",174
"B001T3F0J8",174
"B00388KWJA",174
"B004T33JVG",174
"B004U53A7Q",174
"B007Q0ON7S",174
"B0015KXANS",173
"B001DZLLDG",173
"B001US4DOK",173
"B0023TEEU8",173
"B002YIRKBS",173
"B004E9TU5O",173
"B004GHNFKK",173
"B0083TXXZ4",173
"B008D9MT68",173
"B00000J0S3",172
"B00153C5KY",172
"B0015U64YU",172
"B001W09LO8",172
"B003TJALF8",172
"B004MKHNJK",172
"B004RSGB40",172
"B005OMUTI2",172
"B00001QGUN",171
"B00020LYBC",171
"B000U8UVNI",171
"B00186FCX0",171
"B001UZHASE",171
"B001W3MMHI",171
"B0035V1JUQ",171
"B007U7M0K4",171
"B008132JES",171
"B00CO5AQ12",171
"1223063097",170
"B00000J421",170
"B0000205XH",170
"B0006FSEOI",170
"B0007YDBLE",170
"B000NV9FR0",170
"B0012NSMEK",170
"B0015KEB2M",170
"B0050D1V6E",170
"B005I0K4HQ",170
"B0079PC0EI",170
"B007XVYSZW",170
"B00E8HYIFE",170
"B00FV6A45E",170
"B00005YVRP",169
"B000AKB4IM",169
"B000BNY99E",169
"B000H6QQE6",169
"B000NW5RWQ",169
"B002M78DRQ",169
"B0033BM3K8",169
"B004B5E542",169
"B004UCBU6M",169
"B007Q0OA8A",169
"B00005K3ZR",168
"B0001VJQ1C",168
"B00021HB9K",168
"B000SQNAQC",168
"B000XA80XG",168
"B0015KVAEE",168
"B001RE8LMW",168
"B00A852MNK",168
"B00B3U7SMO",168
"1617680893",167
"B00004SCWA",167
"B000096P3A",167
"B0006NI4IQ",167
"B000F7M8IA",167
"B000P0R9J0",167
"B000VS827Y",167
"B0015KU14O",167
"B00186DECG",167
"B001Q3KUA0",167
"B0039WN9FE",167
"B00A88DRYU",167
"B00CJO90ZG",167
"B00D38UBJ6",167
"B00DCKI02U",167
"B00003008E",166
"B0000A1Z3X",166
"B000XDSWRC",166
"B006RQ8ULC",166
"B007J3F9IY",166
"B007X9DRWO",166
"B008ULAMSG",166
"B00A8UT56W",166
"9269808955",165
"B00000IWCT",165
"B00006SHRU",165
"B0001WCX3E",165
"B00024QOUO",165
"B003NUSGS2",165
"B004TT6RD2",165
"B006KYYOSO",165
"B0088LQZYS",165
"B008CO80SA",165
"B00BQYR110",165
"B00DUARDFC",165
"B00EV23OB0",165
"B00008J1AY",164
"B00020QJ6M",164
"B0006GK6W0",164
"B0007R4J30",164
"B000JSI63G",164
"B0010SGZEG",164
"B002SJMR20",164
"B004U53AA8",164
"B00AQOVWSY",164
"B00CCIKII2",164
"B000063JQJ",163
"B00008PW02",163
"B000096R6U",163
"B0009AG8OI",163
"B0009PAN1C",163
"B000BVMAJ2",163
"B000GIPOJS",163
"B000N3VJ8Q",163
"B000NV6BZY",163
"B0015ZV8R8",163
"B001Z7V6PU",163
"B002OSY2T6",163
"B003AUDFHW",163
"B003LPUCG8",163
"B003R6H59I",163
"B0071GMBAS",163
"B0083J768O",163
"B008BRLZ44",163
"B009B0YWDG",163
"B00A88B16Q",163
"B00C5XBAOA",163
"0979658500",162
"B001356Q0O",162
"B001RU7UNW",162
"B0037UP9GU",162
"B003DVB8NG",162
"B003N2Q5JC",162
"B0050R0XEG",162
"B006BLJKEY",162
"B007N0KZ64",162
"B009T45XN2",162
"B00BY2ER66",162
"1616614609",161
"B00001OK75",161
"B00005UFC1",161
"B0001FPRC0",161
"B000NWTHUY",161
"B0015YHTOU",161
"B008DKA3XI",161
"B00BN6QAVI",161
"B00CQHZ32U",161
"B0000DH5TR",160
"B00030EOIG",160
"B0009K6KEG",160
"B000E9DPVI",160
"B000FJ2HDE",160
"B000KIJCYC",160
"B000NYT1M6",160
"B002IXYSGO",160
"B003LPUCM2",160
"B0040MK48W",160
"B0050K0AAK",160
"B005CK8T3S",160
"B005XLN97M",160
"B006WAJM1A",160
"B008DRLVJG",160
